Recency,Frequency,Monetary
325,1,77183.6
1,182,4310.0
74,31,1797.24
18,73,1757.55
309,17,334.4
35,85,2506.04
203,4,89.0
231,58,1079.4
213,13,459.4
22,59,2811.43
32,131,6207.67
1,19,1168.06
57,245,6310.03
51,129,2662.06
286,10,189.9
2,266,5226.23
109,23,552.0
7,85,1313.1
290,22,641.38
3,11,168.9
50,166,3541.94
44,63,1887.96
71,52,1298.04
310,14,364.6
24,33,742.9300000000001
10,17,457.5
314,77,1628.12
129,219,4008.62
81,40,852.24
21,104,2724.81
4,87,1845.31
184,99,1850.56
28,27,585.27
337,10,401.9
15,100,2780.66
79,32,549.84
21,93,439.66
71,64,1582.6000000000001
63,27,1272.48
18,156,3018.63
35,126,2409.9
45,85,1635.6599999999999
118,59,1108.65
302,5,84.3
322,11,225.6
49,5,427.7
148,54,1710.39
21,105,3415.3
49,77,1708.1200000000001
32,105,2888.55
78,109,11072.67
308,26,693.3299999999999
74,61,1226.88
66,38,758.1
216,18,562.41
23,714,124914.53
2,192,3649.1
112,34,668.58
63,29,600.39
15,45,807.04
95,39,803.5600000000001
0,125,1859.31
162,30,1760.96
77,36,777.2
194,30,582.73
21,31,825.8
25,294,7956.46
8,97,3750.4
42,11,256.4
35,234,6419.95
42,108,5059.32
0,420,13375.87
84,50,806.14
79,36,7829.89
99,16,509.01
1,199,4951.41
13,98,2906.85
366,11,173.55
2,12,172.06
20,176,5005.46
21,4,133.4
57,57,1002.3100000000001
242,26,476.49
43,22,449.45
21,191,4067.29
155,8,197.88
10,354,9035.52
16,22,430.57
133,43,707.09
55,15,3528.34
72,90,2466.86
43,125,3181.04
65,62,2363.23
70,38,947.4
93,35,826.88
18,62,1189.59
52,83,1344.78
9,29,1212.05
16,47,742.1899999999999
187,38,729.5400000000001
1,459,19788.65
31,339,6572.11
28,167,3928.0499999999997
16,422,7324.09
53,36,723.38
15,233,6816.42
22,300,13219.74
3,36,680.99
10,31,527.2
27,154,3281.63
22,216,5579.82
16,75,2484.98
32,343,4527.32
9,55,1298.66
335,15,334.93
4,245,5417.93
38,26,460.40000000000003
62,20,263.21000000000004
165,22,433.74
15,77,1246.1000000000001
81,14,1043.1
20,23,403.70000000000005
22,61,4257.82
336,149,2169.39
95,147,3723.87
17,9,482.04999999999995
232,23,73.5
133,21,1304.81
25,68,397.88
283,7,176.5
142,33,982.5699999999999
65,31,132.18
112,35,612.29
266,51,1017.68
352,16,383.7
77,26,1312.06
27,279,2481.6
0,124,2056.89
63,17,330.84
78,152,2634.26
142,38,599.68
38,12,192.72
18,106,1789.77
8,144,4485.72
0,71,1316.66
81,18,348.71000000000004
8,92,1933.48
59,66,1662.28
14,17,125.22
29,16,349.83000000000004
130,63,1089.18
91,34,716.35
42,261,12601.830000000002
28,21,363.95
21,273,5568.35
19,478,13400.24
29,52,981.18
35,19,372.7
74,50,1000.39
46,69,1161.5
197,8,207.79999999999998
165,5,95.19999999999999
78,57,964.83
357,10,168.0
38,20,437.82
7,191,3692.28
49,119,599.56
15,33,11990.960000000001
7,11,269.96
310,21,561.71
4,105,2134.01
302,16,238.85
7,168,3781.7400000000002
260,21,456.9
288,9,145.92
85,19,351.65
22,446,9401.28
1,188,4124.69
39,34,519.61
8,60,1020.42
226,28,160.54000000000002
315,11,218.45
35,88,1315.83
34,146,626.6
20,114,2794.51
77,29,440.42
246,24,415.7
39,15,197.71
238,22,511.36
2,247,7281.38
3,96,2338.15
233,87,2040.1
16,11,196.94000000000003
7,4,144.0
38,10,214.89999999999998
28,35,646.68
210,68,9864.26
316,26,452.84999999999997
91,18,437.6
108,21,418.09999999999997
37,118,3338.2200000000003
50,27,618.27
18,206,3811.22
9,132,3023.08
28,62,1032.58
28,64,2599.04
189,28,577.0600000000001
58,12,153.12
21,2,739.1999999999999
78,16,254.18
59,101,1579.51
77,60,1126.85
22,106,2099.54
51,65,1193.32
73,19,704.0400000000001
56,153,3344.38
277,20,315.6
1,105,2291.19
94,32,713.3
28,41,352.98
21,11,177.31
15,90,3641.24
14,92,1339.41
1,467,13689.67
231,11,180.1
275,18,305.1
105,38,641.13
211,86,2683.82
22,294,6620.48
10,230,4478.53
3,41,786.46
9,64,1270.88
56,31,640.5
58,101,2163.98
89,101,1689.18
66,382,6002.9
32,39,671.69
238,22,486.1
23,53,1174.58
114,10,185.9
24,47,1013.26
127,24,3344.64
129,31,477.91
33,73,1775.18
4,45,1346.97
21,121,3722.82
154,21,318.05
106,31,623.51
2,20,314.44
334,9,114.0
330,48,919.98
148,43,2209.85
10,38,601.98
16,126,4051.17
10,47,1643.18
18,36,686.05
29,5,91.68
10,13,245.1
0,230,3849.78
7,37,4881.88
324,3,63.0
57,33,620.13
11,161,3807.15
150,101,2744.0299999999997
9,92,2996.05
329,10,225.89999999999998
4,42,610.52
38,83,1970.6
24,45,1331.39
41,165,17628.46
58,48,1113.02
0,52,862.81
14,638,13787.54
3,524,12279.82
3,344,8476.57
7,105,2283.63
27,157,2863.08
371,7,89.14
113,171,4873.8099999999995
25,72,1247.61
205,16,389.01
27,32,1035.8
126,39,855.91
69,37,869.67
6,27,582.1
28,41,957.59
7,268,4939.99
79,53,797.71
19,12,219.0
70,21,283.55
6,88,2340.84
14,334,6868.29
291,33,603.42
29,157,2712.91
14,207,9706.52
96,77,1149.02
28,133,4396.13
0,38,848.55
8,259,4708.86
105,20,343.36
3,69,1053.49
150,55,1030.98
70,19,238.25
4,39,644.95
2,354,5781.73
31,161,2656.13
84,53,997.63
3,69,725.07
4,53,1031.41
370,24,427.8
27,124,2609.1
10,139,3980.7
70,46,836.33
113,26,453.01
23,274,18895.91
179,12,236.26000000000002
233,22,383.95
352,4,110.39999999999999
314,43,779.5699999999999
332,4,234.0
371,11,155.35
77,38,1013.04
63,27,427.6
133,131,540.13
51,222,21279.29
1,103,4196.01
0,4412,33053.19
3,199,4090.88
128,15,275.88
80,53,4366.78
22,197,21429.39
235,63,3010.74
280,4,3811.95
86,4,112.07999999999998
15,364,7834.650000000001
116,97,2791.59
51,95,1531.44
7,69,1898.52
137,18,494.08
316,45,1693.88
3,310,6989.63
238,32,1143.6
210,12,1351.45
59,55,892.47
16,66,1386.04
19,50,822.23
37,149,3981.36
63,25,826.74
4,103,2330.92
1,84,2225.91
8,57,532.8199999999999
363,14,311.95
9,20,463.66
64,4,91.85
191,21,324.92
373,2,192.60000000000002
256,25,400.53999999999996
334,24,545.48
52,45,860.41
18,14,430.48
365,13,254.03
9,8,6977.04
186,25,427.58
36,28,483.65000000000003
