Customer ID,Recency,Frequency,Monetary,Cluster
12346.0,164,33,372.86,1
12347.0,2,71,1323.32,0
12348.0,73,20,222.16,0
12349.0,42,102,2671.14,0
12351.0,10,21,300.93,0
12352.0,10,18,343.8,0
12353.0,43,20,317.76,0
12355.0,202,22,488.21000000000004,1
12356.0,15,83,3560.3,0
12357.0,23,165,12079.99,0
12358.0,10,58,2719.01,0
12359.0,60,117,2563.36,0
12360.0,14,88,1590.83,0
12361.0,97,19,321.35,0
12362.0,373,1,130.0,1
12366.0,268,3,500.24,1
12368.0,263,18,917.6999999999999,1
12369.0,48,93,1791.15,0
12370.0,259,35,774.62,1
12371.0,44,104,2179.42,0
12373.0,259,37,763.0500000000001,1
12374.0,56,50,2246.29,0
12376.0,24,13,503.15,0
12377.0,16,75,1798.2,0
12378.0,197,82,1407.7,1
12379.0,57,41,767.98,0
12380.0,100,173,6951.49,0
12385.0,14,65,1938.4,0
12386.0,1,8,258.9,0
12387.0,50,9,143.94,0
12388.0,80,46,1120.45,0
12389.0,37,49,1433.33,0
12391.0,99,174,2285.18,0
12392.0,226,7,234.75000000000003,1
12393.0,17,43,816.85,0
12395.0,6,98,2048.64,0
12396.0,309,65,931.43,1
12399.0,20,51,853.65,0
12400.0,49,11,205.25,0
12402.0,27,59,1031.3,0
12403.0,156,4,591.6600000000001,1
12404.0,317,1,63.24,1
12406.0,34,61,2975.06,0
12408.0,20,54,1452.22,0
12409.0,55,155,12346.619999999999,0
12410.0,137,14,320.38,0
12411.0,44,22,346.9,0
12412.0,37,66,1370.05,0
12413.0,37,13,241.35,0
12414.0,98,10,390.0,0
12415.0,10,212,19543.84,0
12416.0,291,11,202.56,1
12417.0,45,177,3148.31,0
12418.0,48,68,1352.62,0
12419.0,20,25,503.01,0
12421.0,50,20,291.56,0
12422.0,29,133,4428.24,0
12423.0,22,40,763.08,0
12424.0,57,62,1579.07,0
12425.0,83,55,964.21,0
12426.0,297,47,762.48,1
12427.0,6,10,303.5,0
12429.0,0,76,3735.51,0
12431.0,8,170,4370.52,0
12433.0,1,286,7205.39,0
12434.0,16,20,297.29,0
12435.0,31,76,6096.04,0
12437.0,30,364,7731.99,0
12439.0,317,71,1142.88,1
12440.0,97,32,859.2,0
12441.0,1,11,173.55,0
12443.0,367,21,485.31,1
12445.0,55,20,301.58000000000004,0
12449.0,45,10,768.6,0
12450.0,34,29,490.32,0
12451.0,98,157,3634.36,0
12454.0,30,25,13151.44,0
12455.0,80,137,3413.09,0
12457.0,70,22,632.68,0
12458.0,62,46,830.09,0
12459.0,240,23,454.36,1
12460.0,91,18,326.65,0
12466.0,317,1,56.73,1
12467.0,58,9,132.8,0
12468.0,161,112,2941.2,1
12469.0,157,76,3070.54,1
12470.0,324,23,211.95,1
12471.0,9,676,20129.54,2
12472.0,4,572,11308.48,2
12474.0,13,286,5048.66,0
12475.0,44,25,426.26,0
12476.0,31,281,7267.49,0
12477.0,34,264,7056.63,0
12480.0,34,88,2183.2200000000003,0
12481.0,0,174,6765.07,0
12482.0,211,204,23691.4,1
12483.0,13,63,2612.2000000000003,0
12484.0,118,128,1826.78,0
12485.0,164,34,708.1,1
12486.0,66,49,1037.28,0
12487.0,365,2,285.29999999999995,1
12490.0,13,217,4405.71,0
12492.0,38,22,452.0,0
12494.0,0,34,626.77,0
12495.0,275,17,357.4,1
12496.0,255,10,45.34,1
12497.0,35,43,5205.400000000001,0
12499.0,195,27,393.72,1
12500.0,70,85,1697.39,0
12503.0,219,2,1126.0,1
12504.0,52,11,297.0,0
12505.0,43,42,955.2,0
12507.0,219,28,539.25,1
12510.0,94,112,4195.45,0
12511.0,63,190,3084.02,0
12514.0,276,33,580.08,1
12516.0,65,48,1336.56,0
12519.0,111,22,385.7,0
12523.0,9,143,2562.58,0
12524.0,23,96,6640.39,0
12525.0,133,60,973.73,0
12527.0,129,14,386.8,0
12529.0,163,21,316.48,1
12530.0,50,92,2096.98,0
12531.0,321,110,1807.98,1
12533.0,262,72,1367.89,1
12537.0,43,43,732.94,0
12538.0,13,13,276.5,0
12539.0,85,231,5646.400000000001,0
12540.0,13,293,8854.25,0
12542.0,119,39,481.88,0
12543.0,83,43,980.25,0
12547.0,135,13,175.78,0
12549.0,210,49,1575.68,1
12553.0,20,47,916.47,0
12554.0,83,26,468.5,0
12555.0,317,1,129.23,1
12557.0,6,25,6725.18,0
12562.0,20,39,1185.18,0
12563.0,43,13,249.24,0
12567.0,2,193,4308.58,0
12568.0,279,5,70.0,1
12570.0,317,1,77.52,1
12573.0,16,91,556.87,0
12575.0,92,38,622.8199999999999,0
12576.0,27,54,826.89,0
12577.0,16,152,990.5,0
12578.0,20,58,1847.94,0
12580.0,211,34,637.2,1
12582.0,57,81,1469.04,0
12583.0,8,219,7166.0599999999995,0
12586.0,9,83,1865.73,0
12588.0,34,36,743.88,0
12589.0,56,145,4048.98,0
12591.0,25,42,886.1,0
12592.0,154,63,2145.06,1
12594.0,13,81,1751.89,0
12595.0,139,19,299.02,0
12598.0,98,74,1511.01,0
12599.0,16,71,1264.14,0
12600.0,6,68,2444.88,0
12601.0,39,6,104.19999999999999,0
12605.0,11,76,1232.95,0
12606.0,317,1,21.0,1
12608.0,39,16,415.79,0
12609.0,9,115,2309.01,0
12613.0,23,173,3472.9900000000002,0
12615.0,48,165,3449.79,0
12616.0,23,22,417.8,0
12619.0,195,10,140.14,1
12621.0,0,303,11086.14,0
12623.0,51,155,3442.7400000000002,0
12625.0,144,97,2481.06,0
12629.0,20,45,1558.22,0
12631.0,91,152,2841.07,0
12632.0,155,35,804.88,1
12633.0,17,205,3514.18,0
12634.0,170,20,490.0,1
12635.0,27,78,1241.23,0
12636.0,373,1,141.0,1
12637.0,13,232,2280.91,0
12638.0,274,9,249.8,1
12639.0,69,42,826.27,0
12643.0,20,27,4960.18,0
12644.0,65,80,1440.58,0
12645.0,44,87,1764.12,0
12647.0,2,429,14201.53,2
12648.0,72,44,793.95,0
12649.0,17,87,1671.1399999999999,0
12651.0,13,21,263.75,0
12652.0,69,3,97.05000000000001,0
12653.0,161,43,1950.98,1
12655.0,58,16,261.35,0
12656.0,60,121,2356.66,0
12661.0,71,11,162.0,0
12662.0,8,176,3138.2400000000002,0
12663.0,259,10,239.4,1
12664.0,149,8,1188.16,1
12665.0,52,14,250.6,0
12666.0,29,31,1248.42,0
12668.0,13,375,7575.88,0
12670.0,20,23,764.24,0
12671.0,241,45,2622.481,1
12672.0,230,12,211.15,1
12673.0,36,32,619.5,0
12675.0,188,112,957.25,1
12676.0,43,62,1511.7,0
12677.0,190,21,395.1,1
12678.0,10,211,16652.72,0
12681.0,2,827,17080.74,2
12682.0,0,514,11745.69,2
12683.0,0,197,4220.21,0
12686.0,6,7,89.14,0
12687.0,115,126,2138.91,0
12691.0,55,7,134.6,0
12692.0,272,13,110.95,1
12693.0,31,40,847.11,0
12694.0,56,46,973.68,0
12695.0,163,32,825.02,1
12696.0,69,49,851.91,0
12698.0,225,16,339.75,1
12699.0,52,41,638.11,0
12701.0,164,94,1648.7,1
12703.0,268,53,722.98,1
12705.0,18,265,4893.81,0
12708.0,3,153,2601.19,0
12709.0,1,290,21107.94,0
12711.0,246,60,1339.05,1
12712.0,0,143,2797.53,0
12714.0,23,437,9384.85,0
12717.0,225,16,277.93,1
12720.0,4,155,2478.94,0
12721.0,20,78,1356.95,0
12724.0,18,76,1286.11,0
